Timestamp,Temperature
1564589121.251,28.94
1564589701.115,28.89
1564590281.025,28.93
1564590860.479,28.85
1564591440.691,28.73
1564592020.982,28.58
1564592600.774,28.46
1564593180.928,28.44
1564593760.851,28.45
1564594340.734,28.42
1564594921.319,28.67
1564595501.688,28.81
1564596081.888,28.91
1564596662.442,28.96
1564597242.641,28.99
1564597823.221,29.02
1564598403.295,29.04
1564598983.288,29.06
1564599563.735,29.08
1564600143.953,29.09
1564600724.197,29.1
1564601304.249,29.1
1564601884.595,29.11
1564602465.259,29.1
1564603045.28,29.09
1564603625.389,29.1
1564604205.255,29.09
1564604785.518,29.1
1564605365.728,29.11
1564605945.895,29.11
1564606525.748,29.11
1564607106.212,29.11
1564607686.304,29.11
1564608266.45,29.12
1564608846.466,29.12
1564609426.778,29.11
1564610006.851,29.1
1564610587.167,29.11
1564611167.262,29.11
1564611747.659,29.1
1564612327.871,29.1
1564612908.165,29.09
1564613488.239,29.08
1564614068.65,29.08
1564614648.681,29.08
1564615228.513,29.08
1564615808.741,29.08
1564616388.846,29.03
1564616969.169,28.96
1564617549.698,28.97
1564618129.63,28.92
1564618710.068,28.95
1564619290.468,28.9
1564619870.632,28.92
1564620450.864,28.9
1564621031.279,28.91
1564621611.62,28.89
1564622191.979,28.92
1564622772.542,28.91
1564623352.613,28.93
1564623932.85,28.97
1564624513.707,28.97
1564625093.863,28.99
1564625674.521,29.01
1564626254.583,29
1564626834.835,29.01
1564627414.858,29.01
1564627994.989,28.99
1564628575.259,28.99
1564629155.626,29
1564629735.79,29
1564630315.481,29
1564630895.484,29
1564631476.11,29
1564632056.389,29
1564632636.491,29
1564633216.903,29
1564633797.199,28.99
1564634377.499,28.99
1564634957.602,28.98
1564635538.018,28.97
1564636118.185,28.98
1564636698.918,28.97
1564637278.849,28.96
1564637859.022,28.96
1564638439.109,28.95
1564639019.192,28.94
1564639599.616,28.93
1564640179.878,28.94
1564640759.899,28.92
1564641340.388,28.92
1564641920.366,28.92
1564642500.45,28.91
1564643080.4,28.91
1564643660.761,28.9
1564644241.202,28.89
1564644821.743,28.87
1564645401.777,28.87
1564645982.027,28.88
1564646561.931,28.87
1564647142.175,28.87
1564647722.436,28.87
1564648302.665,28.85
1564648882.759,28.84
1564649462.901,28.85
1564650043.072,28.84
1564650623.353,28.76
1564651202.716,28.43
1564651782.048,28.18
1564652361.88,28.04
1564652941.522,27.9
1564653521.656,27.8
1564654101.369,27.74
1564654681.656,27.66
1564655261.459,27.61
1564655841.439,27.54
1564656421.502,27.48
1564657001.656,27.45
1564657581.597,27.4
1564658161.173,27.34
1564658741.189,27.3
1564659321.376,27.23
1564659901.464,27.22
1564660481.334,27.17
1564661061.586,27.15
1564661641.694,27.14
1564662221.651,27.17
1564662801.486,27.09
1564663380.919,27.15
1564663960.926,27.13
1564664541.281,27.19
1564665121.254,27.13
1564665701.418,27.06
1564666280.953,27.01
1564666861.021,26.97
1564667441.103,26.92
1564668020.892,26.88
1564668600.902,26.86
1564669181.185,27.03
1564669761.435,27.3
1564670342.111,27.45
1564670922.676,27.57
1564671502.967,27.6
1564672082.856,27.61
1564672669.791,27.62
1564673242.136,27.67
1564673821.871,27.7
1564674401.878,27.71
1564674982.173,27.71
1564675562.228,27.73
1564676142.353,27.73
1564676722.402,27.74
1564677302.478,27.74
1564677882.622,27.75
1564678462.608,27.74
1564679042.848,27.74
1564679622.907,27.73
1564680202.776,27.68
1564680782.709,27.68
1564681362.986,27.72
1564681943.467,27.74
1564682523.468,27.77
1564683103.719,27.78
1564683683.831,27.8
1564684263.962,27.81
1564684844.381,27.82
1564685424.539,27.84
1564686004.379,27.85
1564686584.191,27.85
1564687164.085,27.86
1564687744.183,27.86
1564688324.424,27.86
1564688904.216,27.87
1564689484.404,27.87
1564690064.388,27.85
1564690644.711,27.88
1564691224.972,27.88
1564691805.496,27.9
1564692385.43,27.89
1564692965.421,27.89
1564693545.203,27.9
1564694125.557,27.9
1564694705.835,27.9
1564695285.805,27.88
1564695865.833,27.87
1564696446.072,27.88
1564697026.022,27.89
1564697606.404,27.89
1564698186.473,27.88
1564698766.464,27.89
1564699346.56,27.9
1564699926.576,27.89
1564700506.928,27.89
1564701086.954,27.88
1564701666.837,27.89
1564702247.151,27.89
1564702827.195,27.88
1564703407.506,27.88
1564703987.568,27.88
1564704567.79,27.89
1564705147.593,27.89
1564705727.794,27.87
1564706307.973,27.9
1564706888.082,27.89
1564707468.461,27.91
1564708048.44,28
1564708628.884,28.02
1564709209.205,28.01
1564709789.36,28.01
1564710369.619,27.98
1564710949.724,27.94
1564711529.51,27.95
1564712109.741,27.94
1564712690.015,27.93
1564713269.938,27.93
1564713849.97,27.92
1564714429.993,27.92
1564715009.904,27.93
1564715590.276,27.93
1564716170.386,27.93
1564716750.713,27.96
1564717331.126,27.96
1564717911.48,27.98
1564718492.042,28
1564719072.075,28.02
1564719652.069,28.05
1564720232.216,28.07
1564720812.639,28.09
1564721392.943,28.12
1564721973.359,28.15
1564722553.457,28.19
1564723133.845,28.22
1564723714.073,28.26
1564724294.107,28.3
1564724874.576,28.33
1564725455.15,28.37
1564726035.429,28.41
1564726615.871,28.45
1564727196.152,28.48
1564727776.212,28.52
1564728356.406,28.56
1564728936.858,28.61
1564729517.239,28.65
1564730097.43,28.7
1564730677.988,28.74
1564731258.182,28.77
1564731838.665,28.81
1564732419.127,28.85
1564732999.255,28.9
1564733579.505,28.93
1564734159.953,28.95
1564734739.977,28.99
1564735320.092,29.02
1564735900.461,29.04
1564736480.546,29.08
1564737060.758,29.11
1564737641.218,29.13
1564738222.493,29.15
1564738799.911,28.86
1564739379.297,28.62
1564739959.628,28.45
1564740539.444,28.34
1564741119.05,28.27
1564741699.264,28.2
1564742279.187,28.12
1564742859.389,28.09
1564743439.754,28.03
1564744019.99,28.02
1564744600.156,28
1564745179.931,27.95
1564745759.775,27.93
1564746339.928,27.91
1564746920.188,27.86
1564747500.385,27.85
1564748080.524,27.8
1564748660.14,27.78
1564749240.145,27.75
1564749819.773,27.74
1564750399.211,27.72
1564750979.207,27.69
1564751559.217,27.74
1564752139.544,27.74
1564752719.662,27.7
1564753299.375,27.69
1564753879.468,27.67
1564754459.836,27.67
1564755039.852,27.69
1564755619.933,27.7
1564756200.462,27.72
1564756779.374,27.68
1564757359.426,27.7
1564757939.189,27.64
1564758522.432,27.91
1564759097.637,28.15
1564759678.245,28.31
1564760258.199,28.35
1564760839.008,28.44
1564761419.312,28.47
1564761998.561,28.47
1564762578.704,28.56
1564763158.662,28.54
1564763739.211,28.53
1564764319.222,28.61
1564764899.484,28.59
1564765479.799,28.62
1564766059.862,28.53
1564766640.426,28.56
1564767220.613,28.57
1564767800.698,28.47
1564768380.735,28.45
1564768960.957,28.43
1564769541.27,28.44
1564770121.627,28.45
1564770701.358,28.43
1564771281.414,28.42
1564771861.329,28.41
1564772441.951,28.39
1564773022.007,28.39
1564773602.526,28.39
1564774182.529,28.42
1564774762.452,28.42
1564775342.568,28.39
1564775922.673,28.38
1564776503.159,28.38
1564777083.654,28.4
1564777663.391,28.4
1564778243.771,28.38
1564778824.207,28.35
1564779404.711,28.37
1564779985.031,28.39
1564780565.258,28.36
1564781144.21,28.35
1564781724.1,28.37
1564782304.807,28.36
1564782884.971,28.33
1564783465.148,28.33
1564784045.092,28.36
1564784625.407,28.34
1564785205.609,28.29
1564785785.742,28.35
1564786366.183,28.32
1564786946.361,28.35
1564787526.443,28.33
1564788106.754,28.3
1564788687.19,28.29
1564789267.75,28.33
1564789847.782,28.28
1564790428.155,28.29
1564791008.527,28.33
1564791588.718,28.29
1564792168.506,28.29
1564792748.73,28.33
1564793329.007,28.32
1564793909.135,28.31
1564794489.408,28.34
1564795069.769,28.36
1564795650.291,28.36
1564796230.38,28.34
1564796810.673,28.34
1564797390.901,28.35
1564797971.154,28.41
1564798551.18,28.39
1564799131.7,28.41
1564799710.897,28.41
1564800290.738,28.43
1564800871.31,28.51
1564801451.726,28.55
1564802031.747,28.58
1564802612.131,28.58
1564803192.229,28.57
1564803772.493,28.62
1564804353.025,28.69
1564804933.467,28.75
1564805513.672,28.79
1564806094.184,28.83
1564806674.599,28.86
1564807256.148,28.9
1564807834.249,28.93
1564808414.478,28.96
1564808994.782,28.99
1564809575.343,29.03
1564810155.367,29.05
1564810735.646,29.1
1564811315.628,29.13
1564811896.295,29.16
1564812476.396,29.19
1564813056.596,29.22
1564813636.415,29.26
1564814216.745,29.28
1564814797.209,29.31
1564815380.562,29.34
1564815955.402,29.37
1564816535.783,29.39
1564817115.898,29.41
1564817696.105,29.42
1564818276.315,29.44
1564818856.61,29.45
1564819436.819,29.46
1564820016.908,29.47
1564820597.04,29.47
1564821177.375,29.48
1564821757.553,29.49
1564822337.227,29.21
1564822917.008,28.95
1564823496.87,28.76
1564824076.716,28.61
1564824656.26,28.5
1564825236.384,28.42
1564825816.337,28.34
1564826396.314,28.28
1564826976.49,28.21
1564827556.548,28.16
1564828136.77,28.11
1564828717.045,28.06
1564829297.326,28.02
1564829877.599,28.03
1564830457.896,28.06
1564831037.987,28.05
1564831618.437,28.08
1564832198.462,28.01
1564832778.383,28.05
1564833358.553,28.06
1564833938.669,28.08
1564834518.973,28.02
1564835099.163,27.94
1564835679.816,27.95
1564836258.808,27.86
1564836838.989,27.9
1564837418.967,27.92
1564837998.928,27.85
1564838579.307,27.85
1564839159.488,27.75
1564839739.595,27.78
1564840320.064,27.81
1564840900.143,27.8
1564841480.733,27.81
1564842060.864,27.78
1564842640.726,27.73
1564843220.802,27.72
1564843801.093,27.71
1564844381.274,27.72
1564844961.417,27.75
1564845541.266,27.76
1564846121.501,27.73
1564846701.278,27.76
1564847281.838,27.75
1564847861.838,27.72
1564848442.353,27.71
1564849022.462,27.69
1564849602.44,27.71
1564850182.597,27.67
1564850762.986,27.79
1564851343.177,27.91
1564851923.027,28.02
1564852503.345,28.01
1564853083.722,28.04
1564853663.154,28.03
1564854243.261,28.08
1564854823.474,28.04
1564855403.647,28.09
