Timestamp,Temperature
1561910668.067,30.59
1561911248.103,30.58
1561911828.21,30.53
1561912408.037,30.5
1561912988.262,30.45
1561913567.988,30.46
1561914148.57,30.57
1561914728.595,30.59
1561915308.773,30.61
1561915889.143,30.63
1561916470.179,30.64
1561917047.853,30.62
1561917628.257,30.63
1561918208.245,30.61
1561918788.673,30.61
1561919368.951,30.56
1561919949.186,30.58
1561920529.396,30.53
1561921109.495,30.55
1561921690.016,30.52
1561922270.45,30.5
1561922850.618,30.52
1561923430.857,30.49
1561924011.066,30.5
1561924591.202,30.49
1561925171.368,30.48
1561925751.909,30.47
1561926331.714,30.44
1561926911.926,30.44
1561927492.205,30.44
1561928072.577,30.41
1561928652.686,30.42
1561929232.776,30.39
1561929812.936,30.39
1561930393.115,30.39
1561930973.141,30.34
1561931553.192,30.36
1561932132.92,30.34
1561932713.162,30.33
1561933293.452,30.32
1561933873.938,30.3
1561934453.881,30.29
1561935034.007,30.29
1561935614.037,30.27
1561936194.348,30.28
1561936774.657,30.27
1561937354.537,30.22
1561937934.611,30.26
1561938514.719,30.24
1561939095.072,30.22
1561939675.031,30.23
1561940255.495,30.22
1561940835.673,30.24
1561941415.489,30.31
1561941995.16,30.3
1561942575.53,30.32
1561943155.95,30.4
1561943736.161,30.43
1561944316.546,30.57
1561944897.104,30.76
1561945477.965,30.91
1561946057.655,31.03
1561946637.897,31.13
1561947218.257,31.23
1561947799.131,31.34
1561948378.943,31.43
1561948959.27,31.52
1561949539.654,31.61
1561950120.391,31.7
1561950700.546,31.79
1561951281.638,31.88
1561951861.781,31.97
1561952442.054,32.05
1561953022.528,32.13
1561953602.838,32.22
1561954183.392,32.29
1561954764.151,32.37
1561955344.372,32.45
1561955925.155,32.55
1561956505.354,32.63
1561957085.936,32.72
1561957666.554,32.79
1561958247.179,32.91
1561958827.715,33
1561959408.115,33.09
1561959988.713,33.18
1561960568.81,33.26
1561961149.524,33.34
1561961729.44,33.4
1561962309.859,33.47
1561962890.413,33.51
1561963470.707,33.56
1561964051.616,33.61
1561964630.933,33.64
1561965211.457,33.67
1561965792.049,33.7
1561966372.586,33.73
1561966953.047,33.75
1561967533.124,33.78
1561968113.613,33.82
1561968693.724,33.85
1561969274.37,33.88
1561969854.922,33.91
1561970435.493,33.95
1561971015.989,33.98
1561971596.401,34.01
1561972176.577,34.02
1561972756.923,34.05
1561973336.777,33.63
1561973916.549,33.33
1561974496.401,33.14
1561975076.224,33.01
1561975656.307,32.91
1561976236.35,32.87
1561976816.399,32.8
1561977396.747,32.74
1561977977.21,32.71
1561978557.379,32.66
1561979137.593,32.64
