Timestamp,Temperature
1548950592.702,23.89
1548951172.355,23.88
1548951751.817,23.86
1548952331.764,23.84
1548952911.672,23.83
1548953491.472,23.81
1548954071.195,23.79
1548954651.339,23.76
1548955230.703,23.74
1548955810.787,23.72
1548956390.631,23.69
1548956970.716,23.66
1548957550.45,23.64
1548958129.955,23.61
1548958710.316,23.59
1548959290.151,23.56
1548959870.203,23.53
1548960450.388,23.51
1548961030.444,23.47
1548961610.136,23.43
1548962189.903,23.4
1548962770.051,23.36
1548963349.951,23.33
1548963930.29,23.31
1548964510.243,23.29
1548965090.065,23.25
1548965670.171,23.22
1548966250.166,23.19
1548966829.686,23.16
1548967409.385,23.14
1548967989.351,23.11
1548968568.926,23.07
1548969149.213,23.03
1548969728.712,23.01
1548970308.324,22.98
1548970888.124,22.94
1548971467.899,22.91
1548972047.688,22.87
1548972627.523,22.84
1548973207.566,22.8
1548973787.336,22.78
1548974366.77,22.74
1548974946.379,22.69
1548975526.0,22.66
1548976105.955,22.63
1548976686.082,22.61
1548977265.852,22.57
1548977845.318,22.53
1548978425.417,22.49
1548979005.08,22.45
1548979584.976,22.42
1548980164.653,22.39
1548980744.414,22.36
1548981324.204,22.32
1548981904.275,22.3
1548982484.399,22.27
1548983063.985,22.25
1548983643.733,22.22
1548984223.452,22.19
1548984803.205,22.18
1548985382.706,22.15
1548985962.545,22.12
1548986542.246,22.09
1548987122.08,22.07
1548987701.618,22.06
1548988281.071,22.04
1548988861.164,22.02
1548989440.813,22.01
1548990020.646,22
1548990600.429,21.97
1548991180.119,21.97
1548991759.941,21.96
1548992339.232,21.95
1548992919.377,21.94
1548993499.092,21.93
1548994079.227,21.92
1548994659.23,21.92
1548995238.915,21.91
1548995818.41,21.9
1548996397.62,21.91
1548996977.738,21.89
1548997557.701,21.9
1548998137.359,21.89
1548998717.056,21.9
1548999296.83,21.9
1548999876.594,21.9
1549000456.591,21.9
1549001036.014,21.91
1549001616.347,21.91
1549002196.076,21.92
1549002775.792,21.92
1549003355.526,21.92
1549003935.333,21.93
1549004515.368,21.93
1549005095.657,21.94
1549005675.434,21.94
1549006255.259,21.96
1549006834.83,21.97
1549007414.791,21.97
1549007994.738,21.97
1549008574.447,21.98
1549009154.368,21.98
1549009733.958,21.99
1549010313.991,21.99
1549010893.672,21.99
1549011473.371,21.99
1549012052.977,21.99
1549012633.119,21.98
1549013212.839,21.98
1549013792.658,21.98
1549014372.435,21.98
1549014951.922,21.98
1549015531.602,21.96
1549016111.403,21.97
1549016691.397,21.96
1549017271.266,21.95
1549017851.172,21.94
1549018431.078,21.94
1549019011.11,21.93
1549019590.69,21.92
1549020170.457,21.91
1549020749.705,21.9
1549021329.637,21.88
1549021909.6,21.87
1549022489.353,21.86
1549023069.769,21.84
1549023649.348,21.83
1549024229.058,21.82
1549024808.426,21.81
1549025388.469,21.79
1549025967.946,21.77
1549026547.68,21.76
1549027127.554,21.74
1549027707.423,21.73
1549028287.189,21.72
1549028867.048,21.71
1549029447.004,21.7
